Date,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2023-10-17T00:00:00.000,139.21534729003906,139.3946898512302,136.6845129884962,138.12928790413469,23515800
2023-10-18T00:00:00.000,137.46170043945312,140.21172595155744,136.88379355285713,138.94630888601665,23375000
2023-10-19T00:00:00.000,137.25245666503906,139.15556152793368,136.88379794425464,137.9997477176618,26066000
2023-10-20T00:00:00.000,135.1102294921875,137.3720194831689,134.5921034344683,136.83397661053107,26315200
2023-10-23T00:00:00.000,136.0069580078125,137.16277170276794,133.46616564165706,134.55222488089632,26317900
2023-10-24T00:00:00.000,138.30860900878906,138.85662542242744,136.92363036541585,137.33215307409841,44814300
2023-10-25T00:00:00.000,125.15630340576172,127.84654809652548,124.61825294724147,127.69709597069001,84366200
2023-10-26T00:00:00.000,121.83832550048828,123.88092397604004,120.83197147482018,122.82474750878784,57061100
2023-10-27T00:00:00.000,121.72872161865234,122.86460334434449,119.77580202707922,122.43615619505098,44566500
2023-10-30T00:00:00.000,124.01045227050781,124.94705944350845,122.30662966559456,122.76496724336327,28940100
2023-10-31T00:00:00.000,123.63182830810547,124.91716977612808,122.24684955767498,124.60828431827505,26292300
2023-11-01T00:00:00.000,125.9932632446289,126.03311967801518,123.27312818209245,123.62186247192567,30082400
2023-11-02T00:00:00.000,127.02951049804688,128.5141265655758,126.4715356220548,127.95615168958372,27124600
2023-11-03T00:00:00.000,128.63369750976562,129.06213705409462,127.39817091040808,127.55759664006862,26380100
2023-11-06T00:00:00.000,129.779541015625,129.86921228951778,128.20524610247242,128.5838784193638,19052700
2023-11-07T00:00:00.000,130.4969482421875,131.43355547132703,129.41088888230257,130.2378928143369,29757300
2023-11-08T00:00:00.000,131.36378479003906,131.7324586731549,130.307615986695,130.49693213138377,26425800
2023-11-09T00:00:00.000,129.7695770263672,132.07123084598703,129.6001928928534,131.4833655819673,23747800
2023-11-10T00:00:00.000,132.111083984375,132.32033215828918,128.94257737706485,129.63008754377262,26913300
2023-11-13T00:00:00.000,131.61288452148438,132.1110785110762,130.77592226785188,131.3040066805253,18324800
2023-11-14T00:00:00.000,133.13735961914062,135.2098484824034,132.83845538225,133.70530807658145,32395200
2023-11-15T00:00:00.000,134.1337432861328,134.5422660015874,133.0875480834585,134.38284027794552,23861500
2023-11-16T00:00:00.000,136.43540954589844,136.72437059690728,133.83485130887016,134.70170405454627,28013200
